"id","user_id","time","duration","X","Y","key","tagName","tagId"
530,43,1677205675116,120,891,516,0,NULL,NULL
531,43,1677205693186,425,1845,-85,0,NULL,NULL
532,43,1677205696858,112,651,145,0,NULL,NULL
533,43,1677205734614,664,1845,104,0,NULL,NULL
534,43,1677205740726,153,1020,134,0,NULL,NULL
535,43,1677205749677,128,1293,134,0,NULL,NULL
536,43,1677205775386,96,987,143,0,NULL,NULL
537,43,1677205778307,88,818,141,0,NULL,NULL
538,43,1677205779700,112,668,141,0,NULL,NULL
539,43,1677205781842,704,1841,528,0,NULL,NULL
540,43,1677205784443,128,731,886,0,NULL,NULL
541,43,1677205807233,95,763,774,0,NULL,NULL
542,43,1677205813537,88,712,360,0,NULL,NULL
543,43,1677205841136,88,497,628,0,NULL,NULL
544,43,1677205846519,104,1030,135,0,NULL,NULL
545,43,1677205852999,97,1057,620,0,NULL,NULL
546,43,1677205852463,113,810,618,0,NULL,NULL
547,43,1677205853759,104,1329,623,0,NULL,NULL
548,43,1677205855071,104,1523,52,0,NULL,NULL
549,43,1677205860670,1296,1834,61,0,NULL,NULL
550,43,1677205861566,88,807,126,0,NULL,NULL
551,43,1677205863295,112,694,145,0,NULL,NULL
552,43,1677205867078,103,1202,213,0,NULL,NULL
553,43,1677205866111,88,877,219,0,NULL,NULL
554,43,1677205868223,120,553,711,0,NULL,NULL
555,43,1677205870709,72,1447,54,0,NULL,NULL
556,43,1677205873742,120,1453,51,0,NULL,NULL
557,43,1677205871998,104,1388,181,0,NULL,NULL
558,43,1677205874766,96,1383,211,0,NULL,NULL
559,43,1677205876310,103,1440,56,0,NULL,NULL
560,43,1677205877341,96,1397,251,0,NULL,NULL
561,43,1677205878622,160,835,599,0,NULL,NULL
562,43,1677205928060,104,831,586,0,NULL,NULL
563,43,1677205943835,136,877,502,0,NULL,NULL
564,43,1677205948115,144,931,718,0,NULL,NULL
565,43,1677205950492,120,1462,53,0,NULL,NULL
566,43,1677205948691,104,931,745,0,NULL,NULL
567,43,1677205954195,112,1410,146,0,NULL,NULL
568,43,1677205957275,144,1430,236,0,NULL,NULL
569,43,1677205956442,1328,1842,68,0,NULL,NULL
570,43,1677205957627,96,1423,362,0,NULL,NULL
571,43,1677205957809,95,1440,378,0,NULL,NULL
572,43,1677205958050,120,1488,370,0,NULL,NULL
573,43,1677205958779,120,1440,62,0,NULL,NULL
574,43,1677205961874,120,1409,59,0,NULL,NULL
575,43,1677205979849,104,1454,58,0,NULL,NULL
576,45,1677205984330,104,1505,57,0,NULL,NULL
577,43,1677205980891,104,1402,290,0,NULL,NULL
578,45,1677205998010,112,1512,47,0,NULL,NULL
579,45,1677205999673,112,1452,70,0,NULL,NULL
580,6,1677511514796,180,1379,40,0,NULL,NULL
581,6,1677511516666,179,1348,210,0,NULL,NULL
582,6,1677511519045,436,769,424,0,NULL,NULL
583,6,1677511522233,556,730,360,0,NULL,NULL
584,6,1677511523360,881,866,472,0,NULL,NULL
585,6,1677511523733,179,866,472,0,NULL,NULL
586,6,1677511533705,1184,859,472,0,NULL,NULL
587,6,1677511534090,179,859,472,0,NULL,NULL
588,6,1677511514796,180,1379,40,0,NULL,NULL
589,6,1677511516666,179,1348,210,0,NULL,NULL
590,6,1677511519045,436,769,424,0,NULL,NULL
591,6,1677511522233,556,730,360,0,NULL,NULL
592,6,1677511523360,881,866,472,0,NULL,NULL
593,6,1677511523733,179,866,472,0,NULL,NULL
594,6,1677511534090,179,859,472,0,NULL,NULL
595,6,1677511533705,1184,859,472,0,NULL,NULL
596,6,1677511516666,179,1348,210,0,NULL,NULL
597,6,1677511514796,180,1379,40,0,NULL,NULL
598,6,1677511519045,436,769,424,0,NULL,NULL
599,6,1677511514796,180,1379,40,0,NULL,NULL
600,6,1677511516666,179,1348,210,0,NULL,NULL
601,6,1677511519045,436,769,424,0,NULL,NULL
602,6,1677511523360,881,866,472,0,NULL,NULL
603,6,1677511522233,556,730,360,0,NULL,NULL
604,6,1677511523733,179,866,472,0,NULL,NULL
