user_id,duration,interArrivalTime,Type
32,120,1911.0,Human
32,121,633.0,Human
32,231,22.0,Human
32,112,256.0,Human
32,89,130.0,Human
32,201,367.0,Human
32,104,56.0,Human
32,183,1176.0,Human
32,95,16.0,Human
32,239,536.0,Human
32,136,8.0,Human
32,205,2040.0,Human
32,151,8.0,Human
32,159,952.0,Human
32,168,56.0,Human
32,144,79.0,Human
32,160,289.0,Human
32,95,12.0,Human
32,120,232.0,Human
32,76,24.0,Human
32,72,112.0,Human
32,127,256.0,Human
32,161,296.0,Human
32,104,1943.0,Human
32,240,48.0,Human
32,128,208.0,Human
32,187,136.0,Human
32,111,649.0,Human
32,111,87.0,Human
32,151,161.0,Human
32,72,343.0,Human
32,119,713.0,Human
32,79,48.0,Human
32,137,161.0,Human
32,74,46.0,Human
32,131,256.0,Human
32,111,81.0,Human
32,97,288.0,Human
32,95,112.0,Human
32,40,176.0,Human
32,129,257.0,Human
32,89,6.0,Human
32,92,241.0,Human
32,96,207.0,Human
32,137,112.0,Human
32,201,73.0,Human
32,192,104.0,Human
32,127,63.0,Human
32,120,328.0,Human
35,151,1077.0,Human
35,152,1318.0,Human
35,130,2210.0,Human
43,85,660.0,Human
43,305,9.0,Human
43,85,1206.0,Human
43,126,255.0,Human
43,74,59.0,Human
43,109,157.0,Human
43,660,4758.0,Human
43,79,1817.0,Human
43,120,567.0,Human
43,490,18.0,Human
43,79,341.0,Human
43,70,282.0,Human
43,53,93.0,Human
43,60,189.0,Human
43,59,125.0,Human
43,376,633.0,Human
43,116,9.0,Human
43,80,219.0,Human
43,90,146.0,Human
43,75,109.0,Human
43,94,990.0,Human
43,353,13.0,Human
43,95,207.0,Human
43,95,215.0,Human
43,85,90.0,Human
43,85,570.0,Human
43,100,314.0,Human
43,100,116.0,Human
43,70,170.0,Human
43,75,155.0,Human
43,85,215.0,Human
43,111,4486.0,Human
43,85,115.0,Human
43,191,196.0,Human
43,134,39.0,Human
43,74,2856.0,Human
43,110,290.0,Human
43,91,161.0,Human
43,156,350.0,Human
43,46,49.0,Human
43,110,162.0,Human
43,65,751.0,Human
43,95,243.0,Human
43,75,109.0,Human
43,2886,3451.0,Human
43,170,2766.0,Human
43,100,45.0,Human
43,116,126.0,Human
43,99,59.0,Human
43,80,101.0,Human
43,85,396.0,Human
43,105,290.0,Human
43,91,150.0,Human
43,184,324.0,Human
43,164,75.0,Human
43,106,1214.0,Human
43,156,106.0,Human
43,125,45.0,Human
43,264,542.0,Human
43,140,13.0,Human
43,109,805.0,Human
43,100,166.0,Human
43,100,115.0,Human
43,85,110.0,Human
43,95,260.0,Human
43,74,540.0,Human
43,64,190.0,Human
43,115,265.0,Human
43,155,54.0,Human
43,110,3149.0,Human
43,94,208.0,Human
43,99,135.0,Human
43,125,261.0,Human
43,101,185.0,Human
43,73,256.0,Human
43,101,225.0,Human
43,85,614.0,Human
43,69,215.0,Human
43,64,2226.0,Human
43,60,154.0,Human
43,94,170.0,Human
43,75,1311.0,Human
43,54,140.0,Human
43,105,195.0,Human
43,74,219.0,Human
43,115,160.0,Human
43,104,255.0,Human
43,75,270.0,Human
43,90,290.0,Human
43,119,224.0,Human
43,100,254.0,Human
43,76,266.0,Human
43,80,231.0,Human
43,90,1670.0,Human
43,91,141.0,Human
43,160,514.0,Human
43,75,240.0,Human
43,80,930.0,Human
43,95,211.0,Human
43,90,273.0,Human
43,80,266.0,Human
43,105,210.0,Human
43,110,36.0,Human
43,120,85.0,Human
43,105,38.0,Human
43,75,123.0,Human
43,115,479.0,Human
